ts,id,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14
2024-11-13 10:32:46.679529,329,4.44522890719057E-18,2.40979579294257E-17,0.132173763848139,2.44635876546641E-17,1.28115358725205E-17,2.47020502982021E-17,7.00691769479919E-03,3.58910381310739E-17,1.17388623747506E-17,3.62562255735422E-17,1.73079049519754E-03,4.93247626326312E-18,2.45933297155635E-17,1.28084323909246E-17,3.8304717936653E-04
2024-11-13 13:15:53.334424,330,5.0415401020576E-18,9.36943102081761E-18,0.131894473678165,8.65312428332829E-18,1.40504570934628E-17,2.855482414131E-17,6.40922217416882E-03,3.26745190322737E-17,9.11409199308017E-18,5.28151977717826E-17,1.86284002387881E-03,6.94034364747555E-18,1.73412305856162E-17,1.23868735801057E-17,3.32206833426671E-04
2024-11-13 13:17:47.189847,331,2.54787510534094E-18,1.75976794903836E-17,0.13158575314487,1.29415145221679E-17,8.3970910430754E-18,2.77187452171704E-17,5.79446438093921E-03,3.27539033005182E-17,1.41948470077451E-17,4.34267109645277E-17,1.96636519613524E-03,6.06584362863617E-18,1.94172087700381E-17,1.28543098504893E-17,2.71235480259712E-04
2024-11-13 13:19:41.086002,332,3.57786716920216E-18,2.46679955789817E-17,0.131272650379476,2.42559825580808E-17,1.14316180166629E-17,2.08240708289379E-17,5.1907541314174E-03,2.71117441839356E-17,4.65457972721624E-18,4.21511463363714E-17,2.03994164462401E-03,3.18132401818622E-18,2.13685160152501E-17,1.65952610664855E-17,2.04823217823897E-04
2024-11-13 13:21:34.990397,333,5.66495635123676E-18,2.30312169672231E-17,0.130932370450339,1.74920653520276E-17,1.485762931627E-17,1.95023999203311E-17,4.58761340710788E-03,3.73697755735649E-17,9.26990364377629E-18,3.29231260215664E-17,2.07366385918759E-03,5.19194300209293E-18,1.48551737690544E-17,1.2485932843158E-17,1.3341436450978E-04
2024-11-13 13:23:28.882778,334,8.0366486035488E-18,1.95172821442603E-17,0.130577794637344,1.30007626113692E-17,1.63992021676647E-17,1.09963914556073E-17,3.98893877889633E-03,2.54725635638059E-17,1.37127628360998E-17,3.16628153257034E-17,2.06943345806477E-03,5.97400130574623E-18,1.8961665824184E-17,8.28794540125012E-18,5.80191677559455E-05
2024-11-13 13:25:22.752478,335,6.05797963876276E-18,1.22616258056089E-17,0.130204877879261,8.11238662546546E-18,1.41595977494641E-17,1.10626599604706E-17,3.38922361435073E-03,3.38052156130669E-17,6.41322637148283E-18,3.3827083764354E-17,2.02343425209963E-03,4.62662580527542E-18,1.78663574260053E-17,1.49060164046995E-17,2.77881198739876E-05
2024-11-13 13:27:16.614806,336,2.37169225231204E-18,1.30742060732944E-17,0.129830799527077,3.30963954052329E-17,1.20230544434226E-17,1.38741882563826E-17,2.80466795964399E-03,3.74016228222119E-17,8.23982982391865E-18,3.99020699025406E-17,1.94370213247254E-03,7.1156128023097E-18,2.4835478892299E-17,8.71169554252678E-18,1.12304427753334E-04
2024-11-13 13:29:10.547006,337,4.75693703178015E-18,1.41223111591132E-17,0.129426870523037,7.84307826839495E-18,2.08114502908774E-17,3.26568318207874E-17,2.25073410523608E-03,2.29615719806426E-17,1.65471346158581E-17,4.31771015548977E-17,1.82062709484475E-03,1.46681096999982E-17,2.02532089791356E-17,1.47854307066535E-17,1.75348845320202E-04
2024-11-13 13:31:04.447764,338,1.89735380184963E-19,2.79913544813505E-17,0.129007299986985,2.50216700287933E-17,2.69533895930393E-17,1.9216330251662E-17,1.72780352534685E-03,2.44721143604993E-17,1.11545605860467E-17,4.91191436641252E-17,1.66021916787012E-03,1.08702530912799E-17,1.4119739184837E-17,1.10036926157227E-17,2.19284133877232E-04
2024-11-13 13:32:58.315467,339,9.24282352043893E-18,9.35146981995954E-18,0.128560989636799,4.75774076024161E-18,1.59247948819909E-18,1.99281021538995E-17,1.23678972799699E-03,3.35124740971786E-17,5.00617138188187E-18,2.92273316665253E-17,1.47114156318632E-03,9.37389904192978E-18,2.17918386507389E-17,1.56072614508908E-17,2.41878721681346E-04
2024-11-13 13:34:52.220043,340,7.90112333198811E-18,1.55977484609092E-17,0.128095838731389,8.88487457503949E-18,1.46847591925468E-17,2.45690995310064E-17,7.81395644648965E-04,2.09694297521283E-17,8.57791797277287E-18,3.33249925285095E-17,1.25872001012312E-03,5.92441600032015E-18,2.26108232455804E-17,1.39373573336509E-17,2.42554883096394E-04
2024-11-13 13:36:46.089723,341,4.13352078260099E-18,3.28770213454683E-17,0.127614149110003,1.9680382065373E-17,1.06029439882444E-17,1.99439836554252E-17,3.65419095558936E-04,2.2152224874313E-17,1.3829040202188E-17,3.520599510791E-17,1.02677609236261E-03,5.89717943297771E-18,1.08714234249028E-17,1.3661806958588E-17,2.16337291617603E-04
2024-11-13 13:38:40.005041,342,2.46655994240452E-18,2.08994392651169E-17,0.127122379774117,2.1662160425929E-17,1.3121749598827E-17,1.6944995771315E-17,3.24685718856052E-06,2.27563791381745E-17,7.71263892583746E-18,3.13030082820061E-17,7.84613046838762E-04,6.74250518395159E-19,2.15779669947188E-17,1.14732539872204E-17,1.67507523016521E-04
2024-11-13 13:40:33.921777,343,1.0842021724855E-19,2.2800814169595E-17,0.126599642282819,1.64494364443345E-17,1.02587227835386E-17,2.20967710484344E-17,3.05754685094287E-04,3.08741388843503E-17,6.23442567955958E-18,4.58817095389708E-17,5.41394289212937E-04,3.0656368472357E-18,1.8553211160937E-17,7.39311663590628E-18,1.00756919654016E-04
2024-11-13 13:42:27.802710,344,1.50433051432364E-18,1.77563019513637E-17,0.126074446333291,2.29459569488788E-17,2.8632659046464E-17,1.44369765793851E-17,5.52683809759991E-04,3.1245320541547E-17,4.84387321086776E-18,4.6428472386723E-17,3.10058313020143E-04,9.29630706869387E-18,2.15424539184078E-17,1.09824880993509E-17,1.79548235219284E-05
2024-11-13 13:44:21.684258,345,6.47810798060089E-18,1.36083025558367E-17,0.125515970480374,1.03462711136535E-17,1.21123884340494E-17,2.08275543244305E-17,7.32585013044308E-04,1.67063027435569E-17,4.4886495042644E-18,3.27944056028647E-17,8.87021292125517E-05,2.2850016311174E-18,1.50038956216566E-17,1.01068310343981E-17,7.29740119225918E-05
2024-11-13 13:46:15.571438,346,7.83336069620777E-18,2.19036729325581E-17,0.12495718514894,3.04249347846228E-17,2.09439346174842E-17,2.09553336333335E-17,8.74327112615948E-04,3.31863260743512E-17,7.35873568030609E-18,3.70304568538992E-17,9.37281249121768E-05,7.14857065696604E-18,1.44152617472424E-17,1.47879511706492E-17,1.64656486674949E-04
2024-11-13 13:48:09.451238,347,6.3425827090402E-18,6.12820839516549E-18,0.124351247395136,1.83813921903714E-17,2.21728729172727E-17,9.54785898497516E-18,9.5412001456725E-04,2.73482661517896E-17,1.03216807451359E-17,2.97236234998188E-17,2.48840239856586E-04,5.14819007717669E-18,2.2431722156979E-17,1.08604765702251E-17,2.47557188280044E-04
2024-11-13 13:50:03.334639,348,8.91756286869327E-18,2.42265064433589E-17,0.123762356857939,5.10045016225198E-18,2.36691963806078E-17,2.51504323756177E-17,9.53205866574971E-04,2.1172324675899E-17,9.08465406209614E-18,3.37895624722817E-17,3.61956420669462E-04,5.84374941681135E-18,2.0887125659085E-17,1.091322208375E-17,3.1685157011158E-04
2024-11-13 13:51:57.252915,349,3.98444298388423E-18,2.14789999357788E-17,0.123142611264597,1.25906986189686E-17,1.70866570513714E-17,2.47119206566965E-17,8.93475314881095E-04,2.76798570055779E-17,1.34570275922929E-17,2.55131499507857E-17,4.32263437410985E-04,3.89600861975034E-18,1.33895261659504E-17,1.23876263127794E-17,3.64774091559687E-04
2024-11-13 13:53:51.138427,350,3.72694496791892E-19,1.66495124485049E-17,0.122496812136284,3.23363845991771E-17,7.77853782817478E-18,1.54759514429644E-17,7.79702926422317E-04,2.18315598796346E-17,2.91824871957839E-18,3.23622945192221E-17,4.57497155526795E-04,6.9601515368595E-18,1.07451826803674E-17,1.05047818551804E-17,3.91978750243282E-04
2024-11-13 13:55:45.047380,351,3.87602276663568E-18,1.39599068244714E-17,0.121792652070571,1.12761970307171E-17,4.83872817152699E-18,2.29747851576974E-17,5.8558115843283E-04,2.77700326286102E-17,9.42411052499845E-18,3.54170499402178E-17,4.17055394321045E-04,2.0272133260153E-18,2.06431304527342E-17,1.20648588253166E-17,3.83536990455264E-04
2024-11-13 14:32:16.568049,352,2.75116301268197E-18,2.51183353508863E-17,0.13392012411435,5.26655453569332E-17,1.23085761793292E-17,1.94692046934791E-17,0.0115202304444914,4.32884272479114E-17,1.43625959053522E-17,4.58946403241888E-17,1.23907051909457E-04,4.00035683300623E-18,2.20894637812948E-17,1.39311605063209E-17,2.2309820158699E-04
2024-11-13 14:39:09.350766,353,8.32125167382625E-18,1.95908067590084E-17,0.13379607794546,1.2722418477734E-17,1.53408964697248E-17,2.39294066657374E-17,0.011159447723284,3.827156913915E-17,1.0095305735213E-17,2.89054536058502E-17,6.97279985170414E-05,8.32786102755023E-18,1.72580015484234E-17,2.20308429791048E-17,2.72536940140891E-04
